product_name,product_name_es,energy-kcal_100g,proteins_100g,carbohydrates_100g,fat_100g,fiber_100g,nova_group,nutrition_grades,food_groups_tags
bio repolarizador,,,,,,,,unknown,[]
Atun En Agua,Atun En Agua,109,26,0,0.5,0,3,a,"['en:fish-meat-eggs', 'en:fish-and-seafood', 'en:fatty-fish']"
mermelada de mora,,,,,,,,unknown,[]
aceite,,,,,,,,unknown,[]
be Beauty protector solar,,,,,,,,unknown,[]
Vinagre Balsámico De Modena,Vinagre Balsámico De Modena,56,0,14,0,,2,not-applicable,"['en:fats-and-sauces', 'en:dressings-and-sauces']"
Chorizo De Cerdo Cocido,Chorizo De Cerdo Cocido,,,,,,,unknown,[]
,,,,,,,,unknown,"['en:milk-and-dairy-products', 'en:cheese']"
aceite de coco virgen,,,,,,,,unknown,[]
vainilla blanca,,,,,,,,not-applicable,[]
Aji Picante,,10,0,3.3,0,1.5,,unknown,[]
,,,,,,,,unknown,[]
Queso Campesino,Queso Campesino,311,19,2.4,25,,3,unknown,"['en:milk-and-dairy-products', 'en:cheese']"
,,,,,,,,unknown,[]
Gel limpiador,,,,,,,,unknown,[]
Penaut Butter,Penaut Butter,625,26,23.5,47.5,1.5,,c,"['en:cereals-and-potatoes', 'en:legumes']"
,,,,,,,,unknown,[]
Galletas De Leche,Galletas De Leche,441.666666666667,6.66666666666667,79.1666666666667,11.6666666666667,2.5,,unknown,[]
aceite,,,,,,,,unknown,[]
Granola,Granola,375,9.4,78,2.8,7.2,,a,"['en:cereals-and-potatoes', 'en:breakfast-cereals']"
protector solar,,,,,,,,unknown,[]
Plátano Verde,Plátano Verde,85.1851851851852,0.725925925925926,13.3333333333333,3.33333333333333,0.592592592592593,,unknown,[]
Colado/compota orgánica de manzana pera,Colado/compota orgánica de manzana pera,69,0,18,0,1.7,1,a,"['en:fruits-and-vegetables', 'en:fruits']"
Huevo,,84,7,0,6.3,0,,c,"['en:beverages', 'en:sweetened-beverages']"
Pietrán Jamón de Cerdo,Pietrán Jamón de Cerdo,114.634146341463,14.1463414634146,9.02439024390244,2.68292682926829,0.48780487804878,4,a,"['en:fish-meat-eggs', 'en:processed-meat']"
Hatsu Lila,Hatsu Lila,0,0,0.25,0,0,4,c,"['en:beverages', 'en:artificially-sweetened-beverages']"
Crema de Maní,Crema de Maní,666.666666666667,23.3333333333333,20,53.3333333333333,6.66666666666667,4,c,"['en:cereals-and-potatoes', 'en:legumes']"
Diana Arroz Integral,Diana Arroz Integral,339,7.9,74,3.3,9.3,,unknown,"['en:cereals-and-potatoes', 'en:cereals']"
Saltín noel Tradicional,Saltín noel Tradicional,410,11,78,6,5.8,4,d,"['en:salty-snacks', 'en:appetizers']"
Coca Cola Sabor Original,Coca Cola Sabor Original,30,0,7.5,0,,4,unknown,"['en:beverages', 'en:sweetened-beverages']"
Pan integral,Pan integral,272.727272727273,13.030303030303,51.5151515151515,3.33333333333333,8.18181818181818,4,a,"['en:cereals-and-potatoes', 'en:bread']"
Comapan Extra Largo Pan Blanco,Comapan Extra Largo Pan Blanco,315.789473684211,10.5263157894737,57.8947368421053,5.26315789473684,5.26315789473684,4,d,"['en:cereals-and-potatoes', 'en:bread']"
Bebida de Almendras,Bebida de Almendras,29.1666666666667,0.416666666666667,3.75,1.25,1.25,4,c,"['en:beverages', 'en:plant-based-milk-substitutes']"
Salchicha premium,Salchicha premium,235.294117647059,14.7058823529412,2.94117647058824,17.6470588235294,0,4,e,"['en:fish-meat-eggs', 'en:processed-meat']"
Tosh Barra Chocolate,Tosh Barra Chocolate,408.695652173913,8.69565217391304,65.2173913043478,15.2173913043478,17.3913043478261,4,d,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Pony Malta Mini,Pony Malta Mini,41.6666666666667,0.416666666666667,10.4166666666667,0,,,e,"['en:beverages', 'en:artificially-sweetened-beverages']"
Pan Vital,Pan Vital,257.575757575758,13.030303030303,48.4848484848485,3.03030303030303,8.48484848484848,4,d,"['en:cereals-and-potatoes', 'en:bread']"
Showy Original,Showy Original,233.333333333333,0,8.66666666666667,22,,4,d,[]
Jugo de naranja,,72,1,17,0,1,,unknown,"['en:beverages', 'en:fruit-juices']"
Aceite de Oliva Virgen Extra,Aceite de Oliva Virgen Extra,8190,0,0,920,,2,unknown,"['en:fats-and-sauces', 'en:fats']"
Bebida de almendtas,Bebida de almendtas,12,0.5,1,0.7,0,4,b,"['en:beverages', 'en:plant-based-milk-substitutes']"
Avena Finesse,Avena Finesse,40,3.2,6,0.4,0.4,4,b,"['en:beverages', 'en:plant-based-milk-substitutes']"
Mayonesa,Mayonesa,266.666666666667,0,0,30,,,unknown,"['en:fats-and-sauces', 'en:dressings-and-sauces']"
Susanita Tostadas Multicereal,Susanita Tostadas Multicereal,384.615384615385,7.69230769230769,84.6153846153846,0,0,,c,"['en:cereals-and-potatoes', 'en:bread']"
Corn Flakes,Corn Flakes,366.666666666667,6.66666666666667,86.6666666666667,0,3.33333333333333,3,d,"['en:cereals-and-potatoes', 'en:breakfast-cereals']"
Lasagna Precocida Doria,Lasagna Precocida Doria,363.636363636364,12.7272727272727,76.3636363636364,0,5.45454545454545,1,a,"['en:cereals-and-potatoes', 'en:cereals']"
Avena hojuelas,Avena hojuelas,49,2.8,11,1.1,8.3,1,a,"['en:cereals-and-potatoes', 'en:breakfast-cereals']"
Fit-Graan Cereal Granola de Frutos Rojos,Fit-Graan Cereal Granola de Frutos Rojos,337,7.9,71,4,7.1,3,c,"['en:cereals-and-potatoes', 'en:breakfast-cereals']"
Proteina Vegetal Toning,Proteina Vegetal Toning,,,,,,4,not-applicable,"['en:cereals-and-potatoes', 'en:legumes']"
,,,,,,,,unknown,"['en:sugary-snacks', 'en:sweets']"
,,428,7.8,77,12,4.2,4,c,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
Cerebrit Fresa,Cerebrit Fresa,,,,,,4,unknown,[]
Pietran Jamón de Cerdo,Pietran Jamón de Cerdo,,,,,,,unknown,"['en:fish-meat-eggs', 'en:processed-meat']"
arroz roa,arroz roa,350,6,82,0,2,4,b,"['en:cereals-and-potatoes', 'en:cereals']"
Grieco yogurt,Yogurt Griego Natural Sin Azúcar,77.3333333333333,8,4.53333333333333,2.93333333333333,,,a,"['en:milk-and-dairy-products', 'en:milk-and-yogurt']"
Pan Artesano Integral,Pan Artesano Integral,257.575757575758,10,51.5151515151515,3.63636363636364,10,,c,"['en:cereals-and-potatoes', 'en:bread']"
,,,,,,,,unknown,[]
Bon bon bum,Bon bon bum,369,0,95,0,0,4,e,[]
Hit Frutas Tropicales,Hit Frutas Tropicales,45,0,11,0,0,4,e,"['en:beverages', 'en:sweetened-beverages']"
Nuss Milk Crema para Untar: Chocolate Avellanas Dúo,Nuss Milk Crema para Untar: Chocolate Avellanas Dúo,550,2.5,62.5,35,0,,e,"['en:sugary-snacks', 'en:sweets']"
Tosh Granola Crunchy Almendras,Tosh Granola Crunchy Almendras,428.571428571429,11.4285714285714,71.4285714285714,14.2857142857143,8.57142857142857,,d,"['en:cereals-and-potatoes', 'en:breakfast-cereals']"
Galleta Oreo,Galleta Oreo,472.222222222222,4.16666666666667,72.2222222222222,19.4444444444444,1.66666666666667,,e,"['en:sugary-snacks', 'en:biscuits-and-cakes']"
,,2.7,,0,0.0003,,,unknown,"['en:beverages', 'en:teas-and-herbal-teas-and-coffees']"
,,,,,,,,unknown,[]
,,,,,,,1,unknown,"['en:beverages', 'en:waters-and-flavored-waters']"
Hojuelas integrales precocida de avena,Hojuelas integrales precocida de avena,371,14,67,8.1,13,3,unknown,"['en:cereals-and-potatoes', 'en:breakfast-cereals']"
Vive100 Original,Vive100 Original,12.6315789473684,0,3.15789473684211,0,,4,unknown,"['en:beverages', 'en:artificially-sweetened-beverages']"
,,417,11.1,68.1,10.4,3.2,,e,"['en:salty-snacks', 'en:appetizers']"
Salsa de tomate,Salsa de tomate,107,1.7,25,0.3,0.8,4,d,"['en:fats-and-sauces', 'en:dressings-and-sauces']"
Coca-Cola Sin Azúcar,Coca-Cola Sin Azúcar,0,0,0,0,0,4,c,"['en:beverages', 'en:artificially-sweetened-beverages']"
Pasta de arroz,,400,6,92,0,4,,unknown,[]
Guadalupe Tostados Integrales,Guadalupe Tostados Integrales,400,14.2857142857143,68.5714285714286,7.14285714285714,17.1428571428571,,d,"['en:cereals-and-potatoes', 'en:bread']"
Cola & Pola,Cola & Pola,100,0,0,0,,4,not-applicable,['en:alcoholic-beverages']
Stevia liquida Tera,Stevia liquida Tera,,,,,,4,unknown,[]
